operatingunit,mechanismid,primepartner,implementingmechanismname
Tanzania,9681,National Tuberculosis and Leprosy Control Program,Single eligibility FOA
Uganda,17651,TBD,Regional Health Integration to Enhance Services in the Eastern region (RHITES-E)
Uganda,13161,Uganda Virus Research Institute,Enhanced Prevention
Tanzania,17304,University of Washington,University Partnership Field Epidemiology Expansion - (GH001304)
Uganda,12486,"Associazione Volontari Per II Servizio Internazionale, Uganda",Scaling Up Community Based OVC Response (SCORE)
Uganda,18672,TBD,"REFUGEE - Regional Health Integration to Enhance Services ? North, Acholi (RHITES-N, Acholi)"
Uganda,18034,TBD,Acceleration of Regional Comprehensive HIV &AIDS Service Delivery through HSS
Uganda,18034,The AIDS Support Organization,Acceleration of Regional Comprehensive HIV &AIDS Service Delivery through HSS
Uganda,18566,TBD,"Production, distribution and monitoring implementation of Rapid HIV PT, facility and site certification, HIVDR sentinel surveys, validation of emerging lab assays and lab equipment"
South Africa,16988,Kheth'Impilo,Kheth'Impilo Pharmacist Assistant PPP
Uganda,9167,Kalangala District Health Office,Provision of Comprehensive Public Health services for the fishing communities in Kalangala District in the Republic of Uganda under the President?s Emergency Plan for AIDS Relief
Tanzania,18489,TBD,Laboratory
Uganda,11480,U.S. Peace Corps,US Peace Corps
Uganda,13226,Medical Access Uganda Limited (MAUL),Procurement and Logistics Management of Health-related Commodities for HHS/CDC funded HIV/AIDS Programs
Uganda,13416,Mildmay International,"Scaling up comprehensive HIV/AIDS services including PICT,TB/HIV,OVC,ART (including pregnant women)&children through public university teaching hospitals, regional referral hospitals& public& private-not-for-profit health facilities in Uganda under PEPFAR."
Uganda,18274,John Snow Inc (JSI),"Regional Health Integration to Enhance Services ? North, Lango (RHITES-N, Lango)"
Uganda,18274,TBD,"Regional Health Integration to Enhance Services ? North, Lango (RHITES-N, Lango)"
Uganda,17706,Infectious Disease Institute,Scaling up HIV services in Western and West Nile Regions of Uganda
Uganda,13383,African Medical and Research Foundation,Supporting the Scale-up of Comprehensive HIV/AIDS Prevention Services in the Republic of Uganda under the Presidents Emergency Plan for AIDS Relief
Uganda,13325,Reach Out Mbuya,"Provision of comprehensive, community-based HIV/AIDS services and  Capacity Building of Indigenous Organizations in the Republic Of Uganda"
Uganda,18502,Population Services International,DREAMS Initiative and HIV/AIDS Prevention Support to the Ugandan Peoples Defense
Uganda,18567,"Baylor University, College of Medicine",Accelerating Epidemic Control in Fort Portal region in the Republic of Uganda under the President?s Emergency Plan for AIDS Relief (PEPFAR)
Uganda,18567,TBD,Accelerating Epidemic Control in Fort Portal region in the Republic of Uganda under the President?s Emergency Plan for AIDS Relief (PEPFAR)
Uganda,18273,TBD,"Regional Health Integration to Enhance Services ? North, Acholi (RHITES-N, Acholi)"
Uganda,18273,"University Research Corporation, LLC","Regional Health Integration to Enhance Services ? North, Acholi (RHITES-N, Acholi)"
Uganda,9879,Management Sciences for Health,STRENGTHENING TUBERCULOSIS AND HIV/AIDS RESPONSES IN THE EASTERN REGION OF UGANDA (STAR-E)
Uganda,17978,Infectious Disease Institute,Acceleration of Regional Comprehensive HIV &AIDS Service Delivery through HSS
Uganda,17978,TBD,Acceleration of Regional Comprehensive HIV &AIDS Service Delivery through HSS
Uganda,70363,TBD,TBD
Uganda,17698,Uganda Prisons Services,"Provision of comprehensive HIV/AIDS and TB services including prevention, care, support and treatment to prisoners and staff of the prisons service in the Republic of Uganda under PEPFAR"
Uganda,13892,Research Triangle International,School Health and Reading Program (SHRP)
Uganda,13136,Infectious Disease Institute,"Scaling up comprehensive HIV/ Aids Services Including Provider Initiated Testing and Counseling (PITC), MARPI, SGBV at KCC Clinics"
Uganda,17690,"IntraHealth International, Inc",Strengthening HRH
Uganda,18671,Infectious Disease Institute,"REFUGEE - Over five years this follow-on mechanism will utilize comprehensive facility and community approaches to build on existing interventions and scale up HIV prevention, care and treatment services in the mid-Western and West-Nile regions of Uganda"
Uganda,13880,Makerere University School of Public Health,Provision of Comprehensive HIV/AIDS Services and Health Work Force Development for Managing Health Programs in the Republic of Uganda under the President?s Plan for AIDS Relief
Uganda,17094,Management Sciences for Health,Uganda Health Supply Chain
Uganda,17065,Catholic Relief Services,Sustainable Outcomes for Children and Youth Central and Western Uganda
Uganda,17065,Catholic Relief Services,Sustainable Outcomes for Children and Youth Central and Western Uganda (SOCY)
Uganda,13835,Baylor College of Medicine Children's Foundation,Strengthening National Pediatric HIV/AIDS and Scaling up Comprehensive HIV/AIDS Services in the Republic of Uganda under The President?s Emergency Plan For AIDS Relief
Uganda,18033,Mildmay Uganda,Acceleration of Regional Comprehensive HIV &AIDS Service Delivery through HSS
Uganda,18033,TBD,Acceleration of Regional Comprehensive HIV &AIDS Service Delivery through HSS
Uganda,17649,"University Research Corporation, LLC",Regional Health Integration to Enhance Services in East Central Region (RHITES EC)
Uganda,17649,University Research Council,Regional Health Integration to Enhance Services in East Central Region (RHITES EC)
Uganda,17696,World Education,Better Outcomes for Children and Youth Eastern and Northern Regions (BOCY)
Uganda,13717,Registered Trustees for the Uganda Episcopal Conference,"Provision of Comprehensive CARE, Treatment and Prevention Services in Indigenous Health Facilities - AIDS Care and Treatment"
Uganda,11479,U.S. Department of State,State Department
Uganda,17066,World Vision,HIV/Health Initiatives in Workplaces Activity
Uganda,17066,World Vision,HIV/Health Initiatives in Workplaces Activity (HIWA)
Uganda,9183,The AIDS Support Organization,"Accelerating Delivery of Comprehensive HIV/AIDS/TB services including Prevention, Care, Support and Treatment of people living with HIV/AIDS in the Republic of Uganda under the President?s Emergency Plan for AIDS Relief"
Uganda,17078,University Research Council,Applying Science to Strengthen and Improve Systems (ASSIST) Project
Uganda,13486,"Protecting Families from AIDS, Uganda","Scaling Up Integrated, Effective and Sustainable Services for the Prevention of Mother to Child Transmission of HIV (PMTCT) in Uganda"
Uganda,18032,Rakai Health Sciences Program,Acceleration of Regional Comprehensive HIV &AIDS Service Delivery through HSS
Uganda,13924,RECO Industries,Production for Improved Nutrition (PIN) Project
Uganda,18032,TBD,Acceleration of Regional Comprehensive HIV &AIDS Service Delivery through HSS
Uganda,17703,Makerere University School of Public Health,Monitoring and Evaluation Technical Support (METS)
South Africa,17493,National Health Laboratory Services,NHLS  GH001631
Swaziland,10157,"Pact, Inc.",PACT
Uganda,9043,Henry Jackson Foundation,Makerere University Walter Reed Project (MUWRP)
Uganda,13047,Makerere University School of Medicine,Scaling up comprehensive HIV/AIDS Services at Mulago and Mbarara University Teaching Hospitals
Uganda,17696,TBD,Better Outcomes for Children and Youth Eastern and Northern Regions
Uganda,13317,"Joint Clinical Research Center, Uganda",Targeted HIV/AIDS and Laboratory Services (THALAS)
Uganda,13104,Baylor College of Medicine Children's Foundation,"Scaling up Comprehensive HIV/AIDS Services including provider initiated Testing and Counseling, TB/HIV, OVC, Care and ART for Adults and children in Eastern and West Nile regions in Uganda under the PEPFAR"
Uganda,16626,Cardno Emerging Markets,Uganda Private Health Support Program
Uganda,16626,Cardno Emerging Markets,Uganda Private Health Support Program (PHS)
Uganda,13877,Children's AIDS Fund,"New Hope Project ? Provision of Comprehensive HIV/AIDS Care, Treatment and Prevention services in Track 1.0 Health Facilities in Uganda"
Uganda,13002,United Nations High Commissioner for Refugees,Supporting the Continuity of HIV/AIDS prevention and care programs for refugees in Uganda
Zambia,70453,TBD,USAID Health Access for All project
Zambia,17523,New Partner,Ministry of Home Affairs
Zambia,17514,Johns Hopkins University Bloomberg School of Public Health,Jhpiego Follow-On
Zambia,14421,Southern Provincial Health Office,SPMO Follow On
Zambia,17514,Johns Hopkins University Bloomberg School of Public Health,Jhpiego
Uganda,12981,Uganda Virus Research Institute,"Strengthening capacity through improved management and coordination of laboratory, surveillance,  and epidemiology activities, public health evaluations and training in Uganda ? Lab Quality Assurance"
Zambia,18304,"Right To Care, South Africa",EQUIP
Zambia,18263,UNICEF,Cash Plus Care
Zambia,17399,John Snow Inc (JSI),USAID/District Coverage of Health Services (DISCOVER-H)
Zambia,17448,Women and Law in Southern Africa,Stamping Out and Preventing Gender Based Violence (STOP GBV) : Access to Justice
Zambia,10220,"IntraHealth International, Inc",Intrahealth International
Zambia,16634,Expanded Church Response Trust,USAID/Copperbelt Lusaka Zambia Family activity
Zambia,70432,TBD,Community Partner Follow on - 70432 Zambia DOD
Zambia,10225,Eastern Province Health Office,EPHO Follow On
Zambia,17354,FHI 360,Livelihoods and Food Security Technical Assistance (LIFT) II
Zambia,10274,New Partner,MARCH Zambia
Zambia,10241,Catholic Relief Services,CRS FBO follow on
Zambia,18324,TBD,TBD (DAPP Follow-on)
Zambia,18324,University of Maryland Baltimore,University of Maryland ZCHECK
Zambia,12267,Catholic Relief Services,Mawa (formerly ZERS)
Zambia,10236,University Teaching Hospital,University Teaching Hospital
Zambia,10236,University Teaching Hospital,University Teaching Hospital  (Combined HAP & LAB)
Zambia,18528,TBD,TBD (IntraHealth)
Zambia,10227,Western Province Health Office,WPHO Follow on
Zambia,10227,Western Province Health Office,WPHO Followon
Zambia,17788,Development Aid from People to People Humana Zambia,USAID/South-Central Zambia Family Activity
Zambia,13787,Churches Health Association of Zambia,CHAZ
Zambia,10219,Elizabeth Glaser Pediatric AIDS Foundation,EGPAF
Zambia,12272,U.S. Department of State,PEPFAR OVC Small Grants
Zambia,10875,United Nations High Commissioner for Refugees,United Nations High Commissioner for Refugees/PRM
Zambia,10984,Project Concern International,DOD Project Concern International PCI
Zambia,17927,Churches Health Association of Zambia,Safe Motherhood 360+
Zambia,17833,Population Council,Project SOAR
Zambia,13562,Chreso Ministries,CHRESO Ministries
Zambia,17356,FHI 360,Food and Nutrition Technical Assistance (FANTA III)
Zambia,17400,Program for Appropriate Technology in Health,Eradicate TB
Zambia,17400,TBD,TBD - TB/HIV Program
Zambia,17422,FHI 360,TBD - Open Doors
Zambia,17422,FHI 360,USAID Open Doors
Zambia,14507,FHI 360,Family Health International
Zambia,10354,Save the Children US,Zambia OVC System Strengthening Program (ZOVSS) / Zambia Rising
Zambia,13731,Development Aid from People to People Humana Zambia,DAPP
Zambia,17396,Society for Family Health,Sexual and  Reproductive Health for All Initiative (SARAI)
Zambia,14452,Population Services International,Society for Family Health
Zambia,17497,University of Maryland,University of Maryland
Zambia,17497,University of Maryland,University of Maryland (SMACHT)
Zambia,17497,University of Maryland,University of Maryland SMACHT
Zambia,13006,CENTER FOR INFECTIOUS DISEASE AND RESEARCH IN ZAMBIA,CIDRZ - Community Compact
Zambia,17100,Zambia Center for Communication Programs,Stamping Out and Preventing Gender-Based Violence (STOP GBV) : Prevention & Advocacy
Zambia,18487,TBD,TBD-GBV Follow on
Zambia,18346,U.S. Peace Corps,U.S. Peace Corps
Zambia,13580,CENTER FOR INFECTIOUS DISEASE AND RESEARCH IN ZAMBIA,CIDRZ Achieve
Zambia,13580,CENTER FOR INFECTIOUS DISEASE AND RESEARCH IN ZAMBIA,TBD (CIDRZ HiLo)
Zambia,18251,TBD,Early Childhood Development Zambia
Zambia,18327,Catholic Relief Services,CRS (FBO Follow-on 2)
Zambia,17425,Abt Associates,USAID Systems for Better Health
Zambia,17413,John Snow Inc (JSI),SAFE
Zambia,18161,Remote Medical International,USAID|GHSC-RTK
Zambia,13684,University of Zambia School of Medicine,UNZA ZEPACT
Zambia,17413,TBD,TBD - SAFE
Zambia,17410,Pact,USAID/Zambia Community HIV Prevention Project (Z-CHPP)
Zambia,18259,TBD,Youth Workforce Development
Zambia,10203,FHI 360,"The Zambia Prevention, Care and Treatment Partnership II (ZPCT II)"
Zambia,11626,JHPIEGO,Jhpiego
Zambia,17403,World Vision International,Gender Based Violence - Survivor Support Project
Zambia,18159,Global Health Supply Chain Program,Global Health Supply Chain Program
Zambia,10238,TBD,TBD (ZNBTS)
Zambia,10238,Zambia National Blood Transfusion Service,ZNBTS
Zambia,14420,Lusaka Provincial Health Office,LPHO Follow On
Zambia,14339,U.S. Department of State,PEPFAR Prevention Small Grants
Zambia,10726,Program for Appropriate Technology in Health,The Thrive Project
Zimbabwe,18555,Catholic Relief Services,OVC Getting to Zero
Zimbabwe,18555,Catholic Relief Services,WEI Follow-on
Zimbabwe,16806,Zimbabwe Association of Church Hospitals,Expansion of HIV care and prevention
Zambia,10235,University of Zambia School of Medicine,UNZA SOM Follow-on
Zimbabwe,18138,Management Sciences for Health,Building Local Capacity
Zimbabwe,17578,FHI 360,HIV Community Care and Treatment
Zimbabwe,70473,TBD,PSI Follow-on
Zimbabwe,17534,Mavambo Orphan Care (MOC),Mavambo Orphan Care (MOC)
Zimbabwe,13890,Organisation for Public Health Interventions and Development,Families and Communities for the Elimination of Pediatric HIV (FACE-Pediatric HIV)
Zimbabwe,16804,ITECH,ZAZIC VMMC
Zimbabwe,16804,ITECH,ZAZIC VMMC Follow-On
Zimbabwe,17546,Hospice and Palliative Care Association of Zimbabwe,HOSPAZ Bantawana
Zimbabwe,17475,Association of Public Health Laboratories,Lab Support
Zimbabwe,13889,World Education 's Batwana Initiative,Vana Batwana Zimbabwe Orphans and Vulnerable Children Project
Zimbabwe,70465,TBD,ITECH Follow-on
Zimbabwe,16515,ITECH,Technical Assistance in Support of Clinical Training and Mentoring for HIV Treatment and Prevention Services
Zambia,18325,University of Zambia,UNZA ZEPACT+ Follow On
Zimbabwe,12933,Population Services International,Strengthening Private Sector Health Care Services Project (SPSS)
Zimbabwe,16804,ITECH,Scaling Up Voluntary Male Circumcision to Prevent HIV Transmission
Zimbabwe,17541,Family AIDS Care Trust (FACT) Mutare,FACT Children Tariro
Zimbabwe,18141,UNICEF,Social Protection Fund
Zimbabwe,18139,Southern Africa HIV and AIDS Information Dissemination Service (SAfAIDS),Youth4Zero and Prevention+
Caribbean Region,18184,U.S. Department of Defense (Defense),DoD Mech Guyana
Caribbean Region,17366,FHI 360,Linkages
Caribbean Region,18393,Bahamas MoH,Bahamas MOH FOA GH16-1609 (Follow-on to CoAg PS002934)
Caribbean Region,17921,University of Washington,International AIDS Education and Training Center
Caribbean Region,12606,Barbados MOH,Barbados MOH CoAg GH000637
Caribbean Region,18392,Barbados MOH,Barbados MOH FOA GH16-1610 (Follow-on to CoAg GH000637)
Caribbean Region,18406,Davis Memorial Hospital and Clinic,Positively United to Support Humanity (PUSH) FOA GH17-1721 (Follow-on to CoAg GH000153)
Caribbean Region,18185,Davis Memorial Hospital and Clinic,Positively United to Support Humanity
Caribbean Region,18187,John Snow Inc (JSI),Advancing Partners and Communities Project
Caribbean Region,18190,"Ministry of Health, Guyana","Ministry of Health, Guyana CoAg GH001632"
Caribbean Region,18188,Caribbean Regional Public Health Agency,CARPHA Guyana CoAg GH001642
Caribbean Region,12567,Jamaica Ministry of Health (MOH),Jamaica MOH
Caribbean Region,13054,ICF Macro,CRO Task Order Government of Bahamas and Trinidad and Tobago
Caribbean Region,17760,FHI 360,Linkages
Caribbean Region,18395,National Alliance of State and Territorial AIDS Directors,CDC Prevention FOA GH16-1607
Caribbean Region,17919,African Society for Laboratory Medicine,HIV Rapid Testing Quality Improvement Initiative (RTQII)
Caribbean Region,13593,SURINAME MOH,Suriname MOH CoAg GH000640
Caribbean Region,16482,Population Services International,PSI Caribbean
Caribbean Region,12570,Bahamas MoH,Bahamas MOH
Caribbean Region,18394,Trinidad MoH,Trinidad and Tobago MOH FOA GH16-1608 (follow up to CoAg PS003108)
Caribbean Region,16661,Caribbean Regional Public Health Agency,CARPHA support CoAg GH001205
Central America Region,16585,"University Research Corporation, LLC","Capacity Building in HIV Co-infection Activities to Address the Continuum of Prevention, Care and Treatment in Central America, CoAg # GH001100"
Central America Region,13445,"IntraHealth International, Inc",Capacity+
Central America Region,17270,UVG - UNIVERSIDAD DE VALLE DE GUATEMALA,"Building capacity along the continuum of prevention, care and treatment for key populations in Central America, CoAg # GH001285"
Central America Region,17269,COMISCA,"Strengthening HIV Surveillance, Linkages to HIV services, and HIV Diagnostic Capacity to address the continuum of prevention, care and treatment in Central America, CoAg#GH001602"
Central America Region,13082,Population Services International,Combination Prevention
Central America Region,17895,TBD,Strengthening Care & Treatment Cascade
Central America Region,17894,TBD,TA for Combination Prevention Model
Central America Region,14466,"University Research Corporation, LLC",PrevenSida
Central America Region,18371,Global Health Supply Chain Program,Global Health Supply Chain
Dominican Republic,17002,John Snow Inc (JSI),ADVANCING PARTNERS AND COMMUNITIES (APC)
Dominican Republic,17608,Population Services International,"Improving HIV/STI/TB Prevention, Treatment and Care Services for Mobile Populations in the Dominican Republic"
Dominican Republic,17915,Ministry of Health (MOH),"Strengthening Strategic Information Capacity, Detection of HIV/TB Co-Infection and Clinical Services to Mobile Populations in the Dominican Republic"
Dominican Republic,18413,Abt Associates,Health Finance and Governance (HFG)
Dominican Republic,17562,Centro de Orientacion e Investigacion Integral,Increasing Self Sustainable and Friendly Clinical HIV/STI/TBServices for MSMs and Transgender Individuals in the Dominican Republic
Zimbabwe,18353,Global Health Supply Chain Program,Global Health Supply Chain Program (GHSCP)
Dominican Republic,12928,Management Sciences for Health,MSH/SIAPS
Dominican Republic,18414,TBD,SIAPS II
Dominican Republic,11972,"IntraHealth International, Inc",CAPACITY PLUS
Haiti,18269,Groupe Haitien d'Etude du Sarcome de Kaposi et des Infections Opportunistes,GHESKIO 1969
Haiti,12692,"Ministre de la Sante Publique et Population, Haiti",MSPP/UGP (National AIDS Strategic Plan)
Dominican Republic,18388,Clinical and Laboratory Standards Institute,"GH13-1366, HQ, Strengthening and capacity building in resource constrained."
Dominican Republic,17762,FHI 360,LINKAGES
Haiti,18266,Groupe Haitien d'Etude du Sarcome de Kaposi et des Infections Opportunistes,GHESKIO 1924
Haiti,14766,JHPIEGO,SSQH Nord (Services de Sant? de Qualit? pour Ha?ti)
Haiti,13620,Groupe Haitien d'Etude du Sarcome de Kaposi et des Infections Opportunistes,GHESKIO 0545
Haiti,14761,Health Through Walls,HTW (Health Through Walls)
Haiti,14706,Foundation for Reproductive Health and Family Education,FOSREF
Haiti,18268,Catholic Medical Mission Board,CMMB 1970
Haiti,18443,JHPIEGO,SSQH Centre/Sud (Services de Sant? de Qualit? pour Ha?ti)
Central America Region,17383,U.S. Peace Corps,Peace Corps/Nicaragua Volunteers Trainings and Small Grants
Haiti,18425,"Right To Care, South Africa",EQUIP
Haiti,14627,Catholic Medical Mission Board,Catholic Medical Mission Board
Haiti,70101,TBD,OVC TBD
Haiti,18050,Center for Development and Health,CDS 1528
Haiti,10508,Partners in Health,PIH
Haiti,18018,FHI 360,Linkages
Haiti,17692,Pathfinder International,SSQH Centre/Sud (Services de Sant? de Qualit? pour Ha?ti)
Haiti,18267,Partners in Health,PIH 1926
Haiti,18631,Caris Foundation,Project Sante
Haiti,10639,Global Health Supply Chain Program,Global Health Supply Chain Program
Haiti,18631,TBD,Health Service Delivery
Haiti,18623,Catholic Relief Services,4Children
Haiti,18270,Foundation for Reproductive Health and Family Education,FOSREF 1925
Haiti,16801,Caris Foundation,BEST (Byen en ak Sante Timoun)
Caribbean Region,12668,Trinidad MoH,Trinidad and Tobago MOH (PS003108)
Asia Regional Program,16622,Chinese Center for Disease Prevention and Control,China CDC COAG
Asia Regional Program,16576,AIDS Care China,Engaging Local NGOs
Asia Regional Program,17309,FHI 360,LINKAGES
Asia Regional Program,17858,Department of Communicable Disease Control,Ministry of Health Lao PDR
Asia Regional Program,17858,TBD,Ministry of Health Lao PDR
Central America Region,17433,LINKAGES,Linkages
Asia Regional Program,18447,TBD,USAID Gamechanger TBD
Asia Regional Program,17859,Thailand Ministry of Public Health,Thailand Ministry of Public Health
Asia Regional Program,17860,Bangkok Metropolitan Administration,Bangkok Metropolitan Administration
Burma,17114,Population Services International,Control and Prevention of the Three Diseases CAP-3D
Burma,18134,TBD,Cascades: Burma HIV/AIDS Project
Burma,18520,TBD,TBD
Burma,17111,UNAIDS - Joint United Nations Programme on HIV/AIDS,Joint U.N. Programme on HIV/AIDS (UNAIDS III)
Cambodia,14179,Khmer HIV/AIDS NGO Alliance,KHANA Flagship
Cambodia,16688,"National Centre for HIV/AIDS, Dermatology and STDs","National Centre for HIV/AIDS, Dermatology and STDs Phase III"
Cambodia,16688,"National Centre for HIV/AIDS, Dermatology and STDs","National Centre for HIV/AIDS, Dermatology and STDs Phase IV"
Central Asia Region,17051,"AIDS Foundation East, West",HIV REACT
Central Asia Region,17565,Columbia University,Technical Assistance Services to Countries Supported by PEPFAR and the Global Fund
Dominican Republic,17561,Ministry of Health (MOH),"(MOH) Strengthening M&E, FETP capacity, health information systems (HIV, TB, laboratory data, and disease surveillance), Supply of safe blood, and national laboratory improvement plan in the DR MoH"
Central Asia Region,17067,Population Services International,HIV Flagship Project
Asia Regional Program,17859,TBD,Thailand Ministry of Public Health
Central Asia Region,12812,Ministry of Health/Republican Narcology Center,Support to Ministry of Health/Republican Narcology Center of the Kyrgyz Republic
Central Asia Region,17776,Ministry of Health/Republican Narcology Center,Tajikistan - Republican Narcology Center
Central Asia Region,12799,Ministry of Health/Republican AIDS Center,Support to Ministry of Health/Republican AIDS Center of the Republic of Tajikistan
India,16580,Christian Medical Association of India,Labs 4 Life
India,18168,UNAIDS - Joint United Nations Programme on HIV/AIDS,UNAIDS
India,17339,FHI 360,Linkages Across the Continuum of HIV Services for Key Populations Affected by HIV (LINKAGES)
India,14841,Public Health Foundation of India (PHFI),"The HIV/AIDS Partnership: Impact through Prevention, Private Sector and Evidence-based Programming (PIPPSE)"
India,17350,SHARE India,Laboratory Strengthening
India,17286,SHARE India,"Care, Support and Treatment - HIV/TB Project"
India,16566,Karnataka Health Promotion Trust,Orphans and Vulnerable Children Project
India,17806,Program for Appropriate Technology in Health,CHALLENGE TB
India,18542,TBD,TBD (Care & Treatment)
India,16599,Voluntary Health Services,Technical Assistance to India's National AIDS Control Organization (TA to NACO)
India,9349,University of Washington,I-TECH
India,17351,FHI 360,PWID Collaborative Project
India,18167,University of Washington,I-TECH
Indonesia,17600,FHI 360,LINKAGES
Papua New Guinea,17083,FHI 360,Strengthening HIV/AIDS Services for MARPs in PNG Program
Vietnam,18149,Center for Community Health Promotion,CHP ? HIV/AIDS Prevention
Vietnam,17374,Center for Community Health and Development,Community HIV Link-Northern Coast
Vietnam,16803,Program for Appropriate Technology in Health,Healthy Markets
Vietnam,18271,Ho Chi Minh City Department of Health,Department of Health HCMC
Vietnam,18271,Ho Chi Minh City Department of Health,TBD- Follow On Departnet of Health HCMC
Vietnam,17369,Armed Forces Research Institute of Medical Sciences,AFRIMS
Vietnam,10000,Harvard Medical School of AIDS Initiative in Vietnam,HAIVN
Vietnam,9976,"Ministry of Health, Vietnam",Vietnam Administration for HIV/AIDS Control (VAAC)
Asia Regional Program,17860,TBD,Bangkok Metropolitan Administration
Vietnam,18173,Center for Promotion of Quality of Life,USAID Enhanced Community HIV Link- Southern Project
Vietnam,18616,CENTER FOR COMMUNITY HEALTH RESEARCH AND DEVELOPMENT,USAID Enhanced Community HIV Link - Northern
Vietnam,10118,Vietnam Administration for Medical Sciences,Department of Medical Administration
Vietnam,17375,The Center for Community Health Research and Development,Community HIV Link-Northern Mountains
Vietnam,13942,University of California at Los Angeles,Vietnam HIV-Addictions Technology Transfer Center (V-HATTC)
Vietnam,18620,TBD,TBD-Lab
Vietnam,12341,Vietnam Nurses' Association,VNA
Vietnam,9998,Pasteur Institute,PI
Vietnam,13234,KNCV Tuberculosis Foundation,Challenge TB
India,14088,UNAIDS - Joint United Nations Programme on HIV/AIDS,UNAIDS
Vietnam,9974,Ho Chi Minh City Provincial AIDS Committee,HCMC PAC
Vietnam,18194,Global Health Supply Chain Program,Global Health Supply Chain Program (GHSCP)
Vietnam,18172,FHI 360,Sustainable HIV Response from Technical Assistance (SHIFT) Project
Vietnam,18350,TBD,Medication Assisted Recovery Services program
Ukraine,14235,International HIV/AIDS Alliance,ALLIANCE_ METIDA (ending) NGO Support for SI Activities
Ukraine,14235,International HIV/AIDS Alliance,ALLIANCE_ METIDA NGO Support for SI Activities
Ukraine,14071,U.S. Peace Corps,Peace Corps Responding to HIV/AIDS
Ukraine,14254,All Ukrainian Network of People Living with HIV/AIDS,Stigma and discrimination
Ukraine,18212,KNCV Tuberculosis Foundation,Challenge TB
Ukraine,14219,American International Health Alliance,AIHA Blood Safety Technical Assistance Services (HQ)
Ukraine,12899,Pact,RESPOND -- Comprehensive KPs
Ukraine,18219,Ministry of Health (MOH),NPHC/UCDC Care and Treatment
Ukraine,18546,TBD,New DoD Partner
Ukraine,18210,Program for Appropriate Technology in Health,Serving Life
Ukraine,14225,Program for Appropriate Technology in Health,PATH
Ukraine,18545,All Ukrainian Network of People Living with HIV/AIDS,Health Link
Ukraine,18453,New Partner,UCDC Commodity Reporting
Ukraine,18538,TBD,Follow On Alliance METIDA
Ukraine,7520,International HIV/AIDS TB Institute,Prevention for the Military
Vietnam,14336,Hanoi Medical University,HMU follow on
Ukraine,12845,Chemonics International,Strengthening TB Control in Ukraine
Ukraine,18449,U.S. Department of Defense (Defense),Strengthening military lab/commodities
Haiti,16722,Abt Associates,HFG (Health Financing and Governance)
Cambodia,16681,National Tuberculosis and Leprosy Control Program,National Center for Tuberculosis and Leprosy Control (CENAT) Phase II
India,17353,World Health Organization,WHO (NEW)
Ukraine,18219,TBD,Care and Treatment
Vietnam,9977,National Institute for Hygiene and Epidemiology,NIHE Follow on
Ukraine,17345,International HIV/AIDS Alliance,Alliance MAT
Papua New Guinea,17091,World Health Organization,World Health Organization PNG
Vietnam,14159,FHI 360,SMART TA
Ukraine,18452,Global Health Supply Chain Program,Global Health Supply Chain Program
Ukraine,17345,International HIV/AIDS Alliance,MAT
Tanzania,17970,TBD,TBD Zanzibar Follow on - (GH002168)
Zambia,18160,John Snow Inc (JSI),AIDSFree ZAMBIA
